block_id,route_id,trip_headsign,service_id,shape_id,trip_id
b_2234,22,Laurentian West to Downtown,a_merged_998635,2212,549936
b_2231,22,Laurentian West to Downtown,a_merged_998635,2212,549937
b_2235,22,Laurentian West to Downtown,a_merged_998635,2212,549934
a_5632,60,Northview Acres,muwtf_merged_998634,6000,501540
b_2231,22,Laurentian West to Downtown,a_merged_998635,2212,549932
b_2232,22,Laurentian West to Downtown,a_merged_998635,2212,549933
b_2233,22,Laurentian West to Downtown,a_merged_998635,2212,549930
b_2234,22,Laurentian West to Downtown,a_merged_998635,2212,549931
a_2235,23,Downtown,muwtf_merged_998634,2311,501231
b_1031,10,Fairview Park via Becthel,a_merged_998635,1012,549938
a_2232,23,Downtown,muwtf_merged_998634,2311,501230
a_5631,60,Northview Acres,muwtf_merged_998634,6000,501545
a_2234,23,Downtown,muwtf_merged_998634,2311,501232
b_1242,12,To University at King,muwtf_merged_998639,1202,547702
b_933,35,Eastbridge to Conestoga Mall,muwtf_merged_998639,3511,546658
b_932,35,Eastbridge to Conestoga Mall,muwtf_merged_998639,3511,546659
b_1235,12,To Conestoga Mall,muwtf_merged_998639,1201,547707
b_731,7,B Fairview Park via Weber,muwtf_merged_998639,711,545256
b_1231,12,To Conestoga Mall,muwtf_merged_998639,1201,547706
a_739,7,D UW via University,s_merged_998633,702,509495
a_705,7,D UW via University,s_merged_998633,702,509494
a_702,7,D UW via University,s_merged_998633,702,509497
a_737,7,D UW via University,s_merged_998633,702,509496
a_706,7,D UW via University,s_merged_998633,702,509491
a_702,7,D UW via University,s_merged_998633,702,509490
a_731,7,D UW via University,s_merged_998633,702,509493
a_734,7,D UW via University,s_merged_998633,702,509492
a_734,7,D UW via University,s_merged_998633,702,509499
a_706,7,D UW via University,s_merged_998633,702,509498
b_9967,9967,SMH-Fairview Express 3,muwtf_merged_998639,996701,544934
b_702,7,B Fairview Park via Weber,muwtf_merged_998639,711,545255
a_1242,17,Heritage Park,muwtf_merged_998634,1700,502256
b_711,7,E UW via Columbia,muwtf_merged_998639,706,545198
a_1033,17,Heritage Park,muwtf_merged_998634,1700,502257
b_2234,22,Laurentian West to Forest Glen,a_merged_998635,2201,549891
